itemID,labelPosition,labelType,n_labels,imageFile\
linser,D,C,2,images/linser_C_2_d.png\
saltlakrids,U,C,2,images/saltlakrids_C_2_u.png\
mmPeanut,U,C,0,images/mmPeanut_C_0_u.png\
nutella,D,D,1,images/nutella_D_1_d.png\
mayonnaise,D,C,0,images/mayonnaise_C_0_d.png\
hakketOkse,U,E,3,images/hakketOkse_E_3_u.png\
kaffeboenner,D,D,2,images/kaffeboenner_D_2_d.png\
mariekiks,D,C,1,images/mariekiks_C_1_d.png\
remoulade,U,B,1,images/remoulade_B_1_u.png\
marcipan,D,E,1,images/marcipan_E_1_d.png\
linser,U,C,2,images/linser_C_2_u.png\
saltlakrids,D,C,2,images/saltlakrids_C_2_d.png}
